dealer_seen,player_value,num_aces,num_hits,num_stands
4,7,1,0,0
4,7,2,0,0
4,8,0,2232,0
4,8,1,0,0
4,8,2,0,0
4,9,0,2746,0
4,9,1,0,0
4,9,2,0,0
4,10,0,3373,0
4,10,1,0,0
4,10,2,0,0
4,11,0,3935,0
4,11,1,0,0
4,11,2,0,0
4,12,0,0,7033
4,12,1,0,603
4,12,2,429,140
4,13,0,0,6869
4,13,1,850,537
4,13,2,0,0
4,14,0,0,6597
4,14,1,878,468
4,14,2,0,116
4,15,0,0,6359
4,15,1,788,496
4,15,2,0,90
4,16,0,0,6040
4,16,1,831,512
4,16,2,0,74
4,17,0,0,5693
4,17,1,818,564
4,17,2,0,106
4,18,0,0,5256
4,18,1,5,1225
4,18,2,0,111
4,19,0,0,4756
4,19,1,20,1314
4,19,2,0,45
4,20,0,0,7809
4,20,1,32,1320
4,20,2,0,27
4,21,0,0,1236
4,21,1,0,3864
4,21,2,0,44
5,4,0,404,0
5,4,1,0,0
5,4,2,0,0
5,5,0,869,0
5,5,1,0,0
5,5,2,0,0
5,6,0,1250,0
5,6,1,0,0
5,6,2,0,0
5,7,0,1788,0
5,7,1,0,0
5,7,2,0,0
5,8,0,2234,0
5,8,1,0,0
5,8,2,0,0
5,9,0,2797,0
5,9,1,0,0
5,9,2,0,0
5,10,0,3399,0
5,10,1,0,0
5,10,2,0,0
5,11,0,4087,1
5,11,1,0,0
5,11,2,0,0
5,12,0,0,7271
5,12,1,0,666
5,12,2,439,126
5,13,0,0,6967
5,13,1,821,534
5,13,2,0,0
5,14,0,0,6928
5,14,1,824,439
5,14,2,0,101
5,15,0,0,6393
5,15,1,824,482
5,15,2,0,83
5,16,0,0,5977
5,16,1,788,514
5,16,2,0,100
5,17,0,0,5587
5,17,1,845,563
5,17,2,0,106
5,18,0,0,5300
5,18,1,8,1203
5,18,2,0,85
5,19,0,0,4721
5,19,1,17,1288
5,19,2,0,32
5,20,0,0,7859
5,20,1,26,1350
5,20,2,0,45
5,21,0,0,1254
5,21,1,0,4000
5,21,2,0,39
6,4,0,418,0
6,4,1,0,0
6,4,2,0,0
6,5,0,787,0
6,5,1,0,0
6,5,2,0,0
6,6,0,1258,0
6,6,1,0,0
6,6,2,0,0
6,7,0,1770,0
6,7,1,0,0
6,7,2,0,0
6,8,0,2128,0
6,8,1,0,0
6,8,2,0,0
6,9,0,2777,0
6,9,1,0,0
6,9,2,0,0
6,10,0,3227,0
6,10,1,0,0
6,10,2,0,0
6,11,0,4070,3
6,11,1,0,0
6,11,2,0,0
6,12,0,0,6953
6,12,1,0,631
6,12,2,382,131
6,13,0,0,7003
6,13,1,820,506
6,13,2,0,0
6,14,0,0,6609
6,14,1,794,417
6,14,2,0,94
6,15,0,0,6140
6,15,1,897,490
6,15,2,0,84
6,16,0,0,5735
6,16,1,766,529
6,16,2,0,91
6,17,0,0,5593
6,17,1,776,554
6,17,2,0,95
6,18,0,0,5112
6,18,1,8,1232
6,18,2,0,101
6,19,0,0,4701
6,19,1,16,1238
6,19,2,0,30
6,20,0,0,7777
6,20,1,22,1323
6,20,2,0,37
6,21,0,0,1238
6,21,1,0,3888
6,21,2,0,21
7,4,0,397,0
7,4,1,0,0
7,4,2,0,0
7,5,0,835,0
7,5,1,0,0
7,5,2,0,0
7,6,0,1251,0
7,6,1,0,0
7,6,2,0,0
7,7,0,1682,0
7,7,1,0,0
7,7,2,0,0
7,8,0,2241,0
7,8,1,0,0
7,8,2,0,0
7,9,0,2683,0
7,9,1,0,0
7,9,2,0,0
7,10,0,3401,0
7,10,1,0,0
7,10,2,0,0
7,11,0,3860,0
7,11,1,0,0
7,11,2,0,0
7,12,0,7032,5
7,12,1,616,29
7,12,2,544,25
7,13,0,6850,6
7,13,1,1830,36
7,13,2,42,18
7,14,0,7112,10
7,14,1,1856,48
7,14,2,155,109
7,15,0,7327,25
7,15,1,1827,136
7,15,2,128,74
7,16,0,7441,70
7,16,1,1958,254
7,16,2,131,76
7,17,0,0,7636
7,17,1,799,1433
7,17,2,0,195
7,18,0,0,7853
7,18,1,9,1495
7,18,2,0,150
7,19,0,0,7514
7,19,1,14,1659
7,19,2,0,84
7,20,0,0,10629
7,20,1,24,1682
7,20,2,0,85
7,21,0,0,4056
7,21,1,0,4268
7,21,2,0,91
8,4,0,383,0
8,4,1,0,0
8,4,2,0,0
8,5,0,771,0
8,5,1,0,0
8,5,2,0,0
8,6,0,1139,0
8,6,1,0,0
8,6,2,0,0
8,7,0,1686,0
8,7,1,0,0
8,7,2,0,0
8,8,0,2262,0
8,8,1,0,0
8,8,2,0,0
8,9,0,2715,0
8,9,1,0,0
8,9,2,0,0
8,10,0,3339,0
8,10,1,0,0
8,10,2,0,0
8,11,0,3997,2
8,11,1,0,0
8,11,2,0,0
8,12,0,7123,1
8,12,1,598,31
8,12,2,458,18
8,13,0,7045,1
8,13,1,1904,38
8,13,2,54,29
8,14,0,7100,15
8,14,1,1872,33
8,14,2,151,82
8,15,0,7424,20
8,15,1,1848,139
8,15,2,122,84
8,16,0,7419,64
8,16,1,1899,253
8,16,2,126,86
8,17,0,0,7649
8,17,1,832,1313
8,17,2,0,204
8,18,0,0,7768
8,18,1,7,1550
8,18,2,0,130
8,19,0,0,7405
8,19,1,11,1648
8,19,2,0,71
8,20,0,0,10803
8,20,1,22,1686
8,20,2,0,69
8,21,0,0,3985
8,21,1,0,4184
8,21,2,0,70
9,4,0,383,0
9,4,1,0,0
9,4,2,0,0
9,5,0,855,0
9,5,1,0,0
9,5,2,0,0
9,6,0,1258,0
9,6,1,0,0
9,6,2,0,0
9,7,0,1670,0
9,7,1,0,0
9,7,2,0,0
9,8,0,2249,0
9,8,1,0,0
9,8,2,0,0
9,9,0,2804,0
9,9,1,0,0
9,9,2,0,0
9,10,0,3357,0
9,10,1,0,0
9,10,2,0,0
9,11,0,3958,2
9,11,1,0,0
9,11,2,0,0
9,12,0,7125,2
9,12,1,610,32
9,12,2,558,21
9,13,0,6788,8
9,13,1,1881,30
9,13,2,35,23
9,14,0,7253,13
9,14,1,1907,43
9,14,2,135,89
9,15,0,7412,19
9,15,1,1956,163
9,15,2,145,84
9,16,0,7495,76
9,16,1,1903,257
9,16,2,163,84
9,17,0,0,7702
9,17,1,800,1462
9,17,2,0,235
9,18,0,0,7930
9,18,1,8,1611
9,18,2,0,153
9,19,0,0,7296
9,19,1,23,1698
9,19,2,0,80
9,20,0,0,10540
9,20,1,31,1659
9,20,2,0,68
9,21,0,0,4025
9,21,1,0,4228
9,21,2,0,71
10,4,0,1539,0
10,4,1,0,0
10,4,2,0,0
10,5,0,3355,0
10,5,1,0,0
10,5,2,0,0
10,6,0,4949,0
10,6,1,0,0
10,6,2,0,0
10,7,0,7030,0
10,7,1,0,0
10,7,2,0,0
10,8,0,8970,0
10,8,1,0,0
10,8,2,0,0
10,9,0,11103,0
10,9,1,0,0
10,9,2,0,0
10,10,0,13400,1
10,10,1,0,0
10,10,2,0,0
10,11,0,16103,3
10,11,1,0,0
10,11,2,0,0
10,12,0,28794,11
10,12,1,2476,113
10,12,2,2065,95
10,13,0,28116,20
10,13,1,7480,131
10,13,2,192,102
10,14,0,28747,42
10,14,1,7454,173
10,14,2,568,342
10,15,0,29911,85
10,15,1,7471,554
10,15,2,541,360
10,16,0,30092,272
10,16,1,7886,1006
10,16,2,513,343
10,17,0,0,31173
10,17,1,3307,5578
10,17,2,0,865
10,18,0,0,31849
10,18,1,31,6437
10,18,2,0,561
10,19,0,0,29869
10,19,1,50,6767
10,19,2,0,295
10,20,0,0,42569
10,20,1,93,6844
10,20,2,0,314
10,21,0,0,16347
10,21,1,0,16912
10,21,2,0,287
11,4,0,376,0
11,4,1,0,0
11,4,2,0,0
11,5,0,706,0
11,5,1,0,0
11,5,2,0,0
11,6,0,1082,0
11,6,1,0,0
11,6,2,0,0
11,7,0,1432,0
11,7,1,0,0
11,7,2,0,0
11,8,0,1906,0
11,8,1,0,0
11,8,2,0,0
11,9,0,2433,0
11,9,1,0,0
11,9,2,0,0
11,10,0,2797,0
11,10,1,0,0
11,10,2,0,0
11,11,0,3330,1
11,11,1,0,0
11,11,2,0,0
11,12,0,5918,3
11,12,1,489,24
11,12,2,384,14
11,13,0,5913,3
11,13,1,1518,25
11,13,2,33,21
11,14,0,6183,13
11,14,1,1523,41
11,14,2,91,54
11,15,0,6193,21
11,15,1,1542,104
11,15,2,107,78
11,16,0,6285,57
11,16,1,1559,186
11,16,2,122,77
11,17,0,0,6578
11,17,1,667,1149
11,17,2,0,161
11,18,0,0,6783
11,18,1,5,1311
11,18,2,0,120
11,19,0,0,6382
11,19,1,11,1365
11,19,2,0,50
11,20,0,0,8896
11,20,1,23,1357
11,20,2,0,56
11,21,0,0,3333
11,21,1,0,3429
11,21,2,0,52
